rad_haplotyper -v FamB.recode.vcf -r reference.fasta -x 35 -d 10 -z 3 -m .5 -g FamB.gen -p FamB.popmap -t FamB.tsv -p1 FamB_FamB-059 -p2 FamB_FamB-194 -e
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
dDocent_Contig_11347	11	6	136	172	0.791	PASSED	4	27	5	
dDocent_Contig_11351	6	4	164	172	0.953	PASSED	7	0	1	
dDocent_Contig_113552	7	4	165	172	0.959	PASSED	7	0	0	
dDocent_Contig_113593	11	4	162	172	0.942	PASSED	10	0	0	
dDocent_Contig_11361	3	3	165	172	0.959	PASSED	4	0	3	
dDocent_Contig_113733	11	4	163	172	0.948	PASSED	9	0	0	
dDocent_Contig_113794	2	4	127	172	0.738	PASSED	34	3	8	
dDocent_Contig_1138	3	3	167	172	0.971	PASSED	3	1	1	
dDocent_Contig_113811	4	4	160	172	0.930	PASSED	11	0	1	
dDocent_Contig_113893	2	3	168	172	0.977	PASSED	4	0	0	
dDocent_Contig_11396	7	5	164	172	0.953	PASSED	6	1	1	
dDocent_Contig_11400	6	3	164	172	0.953	PASSED	6	2	0	
dDocent_Contig_114038	9	4	167	172	0.971	PASSED	5	0	0	
dDocent_Contig_11405	2	3	164	172	0.953	PASSED	4	1	3	
dDocent_Contig_114093	5	6	120	172	0.698	PASSED	49	1	2	
dDocent_Contig_11410	5	4	164	172	0.953	PASSED	8	0	0	
dDocent_Contig_114253	2	2	170	172	0.988	PASSED	0	1	1	
dDocent_Contig_11429	4	3	164	172	0.953	PASSED	4	1	3	
dDocent_Contig_114301	2	3	148	172	0.860	PASSED	13	3	8	
dDocent_Contig_114329	6	3	165	172	0.959	PASSED	6	0	1	
dDocent_Contig_114468	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_114548	2	3	111	172	0.645	PASSED	54	0	7	
dDocent_Contig_114576	1	2	169	172	0.983	PASSED	0	0	3	
dDocent_Contig_11462	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_114642	4	4	160	172	0.930	PASSED	12	0	0	
dDocent_Contig_114662	3	3	163	172	0.948	PASSED	6	0	3	
dDocent_Contig_114712	12	7	153	172	0.890	PASSED	4	15	0	
dDocent_Contig_11476	5	4	165	172	0.959	PASSED	7	0	0	
dDocent_Contig_114867	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_114962	3	3	167	172	0.971	PASSED	5	0	0	
dDocent_Contig_115	7	4	162	172	0.942	PASSED	8	2	0	
dDocent_Contig_115097	3	3	165	172	0.959	PASSED	2	0	5	
dDocent_Contig_115279	1	2	169	172	0.983	PASSED	0	0	3	
dDocent_Contig_11530	3	8	98	172	0.570	PASSED	72	0	2	
dDocent_Contig_115331	3	4	162	172	0.942	PASSED	10	0	0	
dDocent_Contig_115347	6	4	156	172	0.907	PASSED	4	7	5	
dDocent_Contig_115366	3	3	168	172	0.977	PASSED	4	0	0	
dDocent_Contig_11546	2	3	162	172	0.942	PASSED	4	3	3	
dDocent_Contig_1155	2	3	163	172	0.948	PASSED	9	0	0	
dDocent_Contig_115544	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_115552	1	2	168	172	0.977	PASSED	0	0	4	
dDocent_Contig_115567	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_11559	11	4	164	172	0.953	PASSED	8	0	0	
dDocent_Contig_11565	6	3	167	172	0.971	PASSED	2	3	0	
dDocent_Contig_115681	12	4	162	172	0.942	PASSED	7	0	3	
dDocent_Contig_115728	9	3	159	172	0.924	PASSED	0	13	0	
dDocent_Contig_11578	4	3	164	172	0.953	PASSED	6	2	0	
dDocent_Contig_1159	4	6	162	172	0.942	PASSED	6	3	1	
dDocent_Contig_11590	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_116062	2	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_11608	2	3	161	172	0.936	PASSED	11	0	0	
dDocent_Contig_116090	4	4	153	172	0.890	PASSED	2	10	7	
dDocent_Contig_11611	9	6	103	172	0.599	PASSED	4	65	0	
dDocent_Contig_116123	5	3	171	172	0.994	PASSED	1	0	0	
dDocent_Contig_11618	1	2	166	172	0.965	PASSED	0	0	6	
dDocent_Contig_11636	4	4	167	172	0.971	PASSED	5	0	0	
dDocent_Contig_116431	5	4	159	172	0.924	PASSED	12	0	1	
dDocent_Contig_116436	9	4	161	172	0.936	PASSED	9	1	1	
dDocent_Contig_116503	2	3	168	172	0.977	PASSED	3	0	1	
dDocent_Contig_116535	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_116540	3	3	170	172	0.988	PASSED	0	2	0	
dDocent_Contig_11655	3	4	160	172	0.930	PASSED	2	9	1	
dDocent_Contig_116658	5	3	164	172	0.953	PASSED	8	0	0	
dDocent_Contig_116738	2	3	154	172	0.895	PASSED	10	0	8	
dDocent_Contig_116764	9	9	123	172	0.715	PASSED	20	27	2	
dDocent_Contig_11681	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_11688	4	4	159	172	0.924	PASSED	9	1	3	
dDocent_Contig_117020	5	4	166	172	0.965	PASSED	6	0	0	
dDocent_Contig_117120	2	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_117250	1	2	167	172	0.971	PASSED	0	0	5	
dDocent_Contig_11732	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_117373	2	2	171	172	0.994	PASSED	0	1	0	
dDocent_Contig_117381	4	3	156	172	0.907	PASSED	13	2	1	
dDocent_Contig_117518	8	6	106	172	0.616	PASSED	15	49	2	
dDocent_Contig_117548	2	3	168	172	0.977	PASSED	1	0	3	
dDocent_Contig_1176	5	4	162	172	0.942	PASSED	10	0	0	
dDocent_Contig_1177	4	4	165	172	0.959	PASSED	5	0	2	
dDocent_Contig_117908	2	3	169	172	0.983	PASSED	2	0	1	
dDocent_Contig_117913	5	4	164	172	0.953	PASSED	6	0	2	
dDocent_Contig_11795	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_11799	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_117994	1	2	170	172	0.988	PASSED	0	0	2	
dDocent_Contig_11805	4	3	167	172	0.971	PASSED	5	0	0	
dDocent_Contig_11817	13	4	166	172	0.965	PASSED	6	0	0	
dDocent_Contig_118219	1	2	169	172	0.983	PASSED	0	0	3	
dDocent_Contig_118220	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_118320	2	2	168	172	0.977	PASSED	1	1	2	
dDocent_Contig_118429	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_11845	3	4	158	172	0.919	PASSED	12	1	1	
dDocent_Contig_11849	3	4	164	172	0.953	PASSED	7	0	1	
dDocent_Contig_1185	3	3	166	172	0.965	PASSED	5	1	0	
dDocent_Contig_118540	5	3	166	172	0.965	PASSED	6	0	0	
dDocent_Contig_118595	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_1187	8	4	163	172	0.948	PASSED	9	0	0	
dDocent_Contig_118755	3	4	166	172	0.965	PASSED	6	0	0	
dDocent_Contig_118765	1	2	172	172	1.000	PASSED	0	0	0	
