"LOCUS" "LG_F" "POS_F" "LG_M" "POS_M"
"382" "dDocent_Contig_182413" 8 11.4029394844273 18 40.7843077844976
"383" "dDocent_Contig_3891" 8 11.4029395844273 18 42.3422312614149
"384" "dDocent_Contig_20019" 8 11.4029396844273 18 41.6710800127324
"385" "dDocent_Contig_361265" 8 11.4029397844273 NA NA
"386" "dDocent_Contig_335990" 8 11.4029398844273 18 41.6710801127324
"387" "dDocent_Contig_3406" 8 11.4029399844273 NA NA
"388" "dDocent_Contig_144370" 8 11.4029400844273 NA NA
"389" "dDocent_Contig_32011" 9 11.4851892604918 7 61.035780775801
"390" "dDocent_Contig_23960" 12 11.5788279728754 3 3.24348913442054
"391" "dDocent_Contig_3765" 17 11.8205036198716 10 12.2466688208871
"392" "dDocent_Contig_79382" 17 11.8205037198716 10 8.79494273923972
"393" "dDocent_Contig_23306" 17 11.8205038198716 NA NA
"394" "dDocent_Contig_343070" 17 11.8205039198716 10 8.79494283923973
"395" "dDocent_Contig_276408" 17 11.8205040198716 NA NA
"396" "dDocent_Contig_256101" 17 11.8205041198716 NA NA
